id,type,desc,category,concept,dataset,name
longitude,number,The longitude of named place location,longitude,location,59sa-iw7i,Indigenous Place Names of Edmonton
location,location,,location,location,59sa-iw7i,Indigenous Place Names of Edmonton
year,number,Calendar Year,year,time,25sf-z8zd,Residential Building Permits 2009-2014
neighbourhood,text,City of Edmonton Neighbourhood,neighbourbood_name,area,25sf-z8zd,Residential Building Permits 2009-2014
city sector,text,General Geographic Area of City,,area,25sf-z8zd,Residential Building Permits 2009-2014
typology,text,"General Neighbourhood classification based on the the Way We Grow, geographic location and age",,,25sf-z8zd,Residential Building Permits 2009-2014
neighbourhood number,number,Unique Neighbourhood Identifier,neighbourbood_id,area,25sf-z8zd,Residential Building Permits 2009-2014
ward,number,City Ward,ward_number,area,25sf-z8zd,Residential Building Permits 2009-2014
traffic district,number,Unique Transportation Management Area as identified by Transportation Services,,area,25sf-z8zd,Residential Building Permits 2009-2014
total construction value ($),money,Total Declared Construction Values Summed-up from Building Permits,,,25sf-z8zd,Residential Building Permits 2009-2014
number of permits,number,All building permits issued in the neighbourhood,,,25sf-z8zd,Residential Building Permits 2009-2014
number of additions,number,Additions to Primary Residence (does not include additions to accessory buildings),,,25sf-z8zd,Residential Building Permits 2009-2014
interior/exterior alterations,number,"Changes to the inside or outside of an existing building. Includes foundation repairs to low-density residential buildings. Also, includes decks.",,,25sf-z8zd,Residential Building Permits 2009-2014
accessory buildings,number,Construction or alteration of buildings that are accessory to the primary building (ex. garage),,,25sf-z8zd,Residential Building Permits 2009-2014
hot tubs/ pools,number,"New hot tubs or pools. Also, includes man-made ponds",,,25sf-z8zd,Residential Building Permits 2009-2014
foundation/ structure,number,Foundation construction for apartment buildings and other multi-family projects,,,25sf-z8zd,Residential Building Permits 2009-2014
accessory buildings demolished,number,Demolition of accessory buildings (ex. garage). A demolition permit may not be issued building will be replaced.,,,25sf-z8zd,Residential Building Permits 2009-2014
multi-family suites,number,Additional suite creation within an existing multi-family building. This does not include secondary suites.,,,25sf-z8zd,Residential Building Permits 2009-2014
secondary suites,number,Additional suite creation within an existing single-family building. ,,,25sf-z8zd,Residential Building Permits 2009-2014
garden suites,number,Free standing residential suite constructed as an accessory building.,,,25sf-z8zd,Residential Building Permits 2009-2014
garage suites,number,Free standing residential suite constructed as an accessory building that also includes garage parking.,,,25sf-z8zd,Residential Building Permits 2009-2014
new build secondary suites,number,Additional suite creation occurs as part of a new single-family building construction.,,,25sf-z8zd,Residential Building Permits 2009-2014
single-detached,number,Single-detached house. Does not include secondary suites.,,,25sf-z8zd,Residential Building Permits 2009-2014
duplex units,number,"A building containing only two Dwellings, with one Dwelling placed over the other. Each unit is counted individually.",,,25sf-z8zd,Residential Building Permits 2009-2014
semi-detached units,number,"A building containing only two Dwellings, with each Dwelling placed side by side. Each unit is counted individually.",,,25sf-z8zd,Residential Building Permits 2009-2014
row housing units,number,A building containing a row of three or more Dwellings joined in whole or in part at the side. Also includes stacked row housing. Each unit is counted individually.,,,25sf-z8zd,Residential Building Permits 2009-2014
apartment units,number,"Multiple dwellings  contained within a building in which the Dwellings are arranged in any horizontal or vertical configuration, Each unit is counted individually.",,,25sf-z8zd,Residential Building Permits 2009-2014
mobile home units,number,"Transportable Single Detached Housing which is suitable for permanent occupancy, designed to be transported on its own wheels.",,,25sf-z8zd,Residential Building Permits 2009-2014
mobile units demolished,number,Mobile homes are demolished or removed from a site.,,,25sf-z8zd,Residential Building Permits 2009-2014
secondary suites demolished,number,"Secondary Suites removed from primary residence. Note - not all removals require a permit. Therefore, some may not be tracked.",,,25sf-z8zd,Residential Building Permits 2009-2014
single units demolished,number,Single dwelling homes are demolished.,,,25sf-z8zd,Residential Building Permits 2009-2014
multi-family units demolished,number,"Multi dwelling homes are demolished. This includes duplexes, semi-detached homes, row housing and apartment buildings.",,,25sf-z8zd,Residential Building Permits 2009-2014
net units,number,All new dwelling units minus all demolished dwelling units. This includes suites.,,,25sf-z8zd,Residential Building Permits 2009-2014
meeting id,number,Primary Key / Unique meeting identifier,,,kzgq-nq8v,2017-2021 Council And Committee Meetings - Attendance
item id,number,Foreign Key Identifier - see Agenda Items dataset for the related agenda item,,,kzgq-nq8v,2017-2021 Council And Committee Meetings - Attendance
attendee,text,Name of Council or Committee member,,,kzgq-nq8v,2017-2021 Council And Committee Meetings - Attendance
status,text,Indicators if Council or Committee member was present during any part of the meeting,,,kzgq-nq8v,2017-2021 Council And Committee Meetings - Attendance
reference number,text,The unique identifier (number)  for the service request.,,,ukww-xkmj,311 Explorer
date created,calendar_date,The date the service request was submitted.,date,time,ukww-xkmj,311 Explorer
date closed,calendar_date,The date the service request was acted upon. The appropriate City department has investigated the concern and identified steps to resolve your request. Action for resolving the issue may be deferred as work may be dependent on priority and weather conditions or your issue has been closed due to lack of information including contact details. (311 Explorer version),date,time,ukww-xkmj,311 Explorer
request status,text,"Status of the request. It can be either Open or Closed. Open means the service request has been received and assigned to the appropriate City area for review and action. Response times can be dependent on several factors including weather conditions, availability of resources and assessed priority of the work required. Closed means the appropriate City area has investigated your concern and has taken the necessary action to resolve your request. Please call 311 if further information is required.  (311 Open Data Activity Detail version).
",,,ukww-xkmj,311 Explorer
status detail,text, Certain request types may include additional details describing the progress or action associated with the request.,,,ukww-xkmj,311 Explorer
service category,text,The type of activity or service request.,,,ukww-xkmj,311 Explorer
service code,text,Provides a general description of the service request.,,,ukww-xkmj,311 Explorer
business unit,text,The business area that is responsible for the service (311 Explorer version).,,,ukww-xkmj,311 Explorer
neighbourhood,text,The City neighbourhood where the service request is located.,neighbourbood_name,area,ukww-xkmj,311 Explorer
community league,text,The Community League associated with the location of the service. (If applicable),,,ukww-xkmj,311 Explorer
ward,text,The City Ward associated with the location.,ward_name,area,ukww-xkmj,311 Explorer
address,text,The location of the service request.,address,location,ukww-xkmj,311 Explorer
lat,number,Horizontal Geographic Coordinate,latitude,location,ukww-xkmj,311 Explorer
long,number,Vertical Geographic Coordinate,longitude,location,ukww-xkmj,311 Explorer
location,location,Spatial coordinates for the location of the issue that has been identified.,location,location,ukww-xkmj,311 Explorer
ticket source,text,"The channel or method in which the service request was initiated. Examples will include telephone, 311 app or email. ",,,ukww-xkmj,311 Explorer
calendar year,number,Year when Service Ticket was created.,year,time,ukww-xkmj,311 Explorer
count,number,Number of service requests - usually 1. To be used for reporting purposes.,,,ukww-xkmj,311 Explorer
posse number,text,Unique Identifier generated by POSSE,,,ukww-xkmj,311 Explorer
transit ref number,html,A ticket number from any Transit application,,,ukww-xkmj,311 Explorer
ivara ticket num,text,,,,ukww-xkmj,311 Explorer
ward,text,City Ward Number,ward_name,area,aaki-fhf8,2016 Census - Dwelling Unit by Structure Type and Ownership (Ward)
structure type,text,Residential Structure Type,,,aaki-fhf8,2016 Census - Dwelling Unit by Structure Type and Ownership (Ward)
owned,number,Number of Dwellings that are Owned,,,aaki-fhf8,2016 Census - Dwelling Unit by Structure Type and Ownership (Ward)
rented,number,Number of Dwellings that are Rented,,,aaki-fhf8,2016 Census - Dwelling Unit by Structure Type and Ownership (Ward)
no response,number,Number of Dwellings that did not Respond,,,aaki-fhf8,2016 Census - Dwelling Unit by Structure Type and Ownership (Ward)
asset,text,"The City of Edmonton classifies all roadwork and improvements as assets.
",,,zxf6-rv9a,2016 Street Construction Projects
id,text,Internal Project Identifier,,,zxf6-rv9a,2016 Street Construction Projects
start year,text,Proposed Implementation Year,year,time,zxf6-rv9a,2016 Street Construction Projects
approx. start,text,Approximate start date of the project ,date,time,zxf6-rv9a,2016 Street Construction Projects
approx. finish,text,Approximate end date of the project ,date,time,zxf6-rv9a,2016 Street Construction Projects
project limits,text,The limits of the project in the area.,,,zxf6-rv9a,2016 Street Construction Projects
project location,text,Project location and indicator number as found on the printed Construction On Your Streets map and Ward map section.,,location,zxf6-rv9a,2016 Street Construction Projects
latitude,number,,latitude,location,zxf6-rv9a,2016 Street Construction Projects
longitude,number,,longitude,location,zxf6-rv9a,2016 Street Construction Projects
location,location,,location,location,zxf6-rv9a,2016 Street Construction Projects
profile number,text,Internal Profile Number,,,zxf6-rv9a,2016 Street Construction Projects
construction type,text,A description of the type of work being performed.,,,zxf6-rv9a,2016 Street Construction Projects
construction supervisor,text,Contact person for more information.,,,zxf6-rv9a,2016 Street Construction Projects
phone number,text,Phone number for Construction Supervisor,phone,phone,zxf6-rv9a,2016 Street Construction Projects
ward,text,City Ward Number,ward_name,area,zxf6-rv9a,2016 Street Construction Projects
construction by ward,url,This link goes to a page listing all the construction projects scheduled in this Ward.,url,url,zxf6-rv9a,2016 Street Construction Projects
additional info,url,Additional information relating to this project..,url,url,zxf6-rv9a,2016 Street Construction Projects
project status,text,Current status for a particular Construction Project,,,zxf6-rv9a,2016 Street Construction Projects
icon,photo,,,,zxf6-rv9a,2016 Street Construction Projects
ward,text,City Ward Number,ward_name,area,23zz-47uu,2014 Census - Dwelling Unit Status (Ward)
dwelling status,text,Dwelling Status Type,,,23zz-47uu,2014 Census - Dwelling Unit Status (Ward)
dwellings,number,Number of Units,,,23zz-47uu,2014 Census - Dwelling Unit Status (Ward)
responsedate,calendar_date,,date,time,2wiz-k5z2,Your View of Edmonton - Edmonton Insight Community
completiondate,calendar_date,,date,time,2wiz-k5z2,Your View of Edmonton - Edmonton Insight Community
ostype,text,,,,2wiz-k5z2,Your View of Edmonton - Edmonton Insight Community
devicetype,text,,,,2wiz-k5z2,Your View of Edmonton - Edmonton Insight Community
browsertype,text,,,,2wiz-k5z2,Your View of Edmonton - Edmonton Insight Community
facility name,text,Name of Recreational Facility,,,tm8z-k466,Recreational Facilities - Drop In Swim
facility id,number,Unique Facility Identifier,,,tm8z-k466,Recreational Facilities - Drop In Swim
booking date,text,Calendar Date for Activity,date,time,tm8z-k466,Recreational Facilities - Drop In Swim
day,text,Day of the Week for an Activity,day,time,tm8z-k466,Recreational Facilities - Drop In Swim
activity,text,Swimming Activity or Program to be done,,,tm8z-k466,Recreational Facilities - Drop In Swim
time,text,Time when Activity happens,time,time,tm8z-k466,Recreational Facilities - Drop In Swim
number of lanes,number,Number of Lanes available for Activity,,,tm8z-k466,Recreational Facilities - Drop In Swim
site id,text,"System generated, unique identifier associated with the intersection where enforcement is being conducted.",,,7fnd-72gr,Intersection Safety Device Locations
approach,text,The road of travel being driven on that approaches the intersection.,,,7fnd-72gr,Intersection Safety Device Locations
cross street,text,The road being crossed at the intersection.,,,7fnd-72gr,Intersection Safety Device Locations
travel direction,text,"The direction of travel on the Approach road, which crosses the Cross Street at the intersection.",,,7fnd-72gr,Intersection Safety Device Locations
posted speed,text,"The speed limit of the Approach road, at the intersection of enforcement (km/h).",,,7fnd-72gr,Intersection Safety Device Locations
name,text,Name of Facility ,,,7yt8-7467,Recreation Centres
latitude,number,Latitude coordinate for the facility,latitude,location,7yt8-7467,Recreation Centres
longitude,number,Longitude coordinate for the facility,longitude,location,7yt8-7467,Recreation Centres
location,location,,location,location,7yt8-7467,Recreation Centres
type,text,Type of recreation centre,,,7yt8-7467,Recreation Centres
name,text,Name of ice arena,,,mnwt-r49h,Arenas
latitude,number,Latitude coordinate for ice arena,latitude,location,mnwt-r49h,Arenas
longitude,number,Longitude coordinate for the ice arena,longitude,location,mnwt-r49h,Arenas
location,location,Geographic coordinates for ice arena,location,location,mnwt-r49h,Arenas
responsedate,calendar_date,,date,time,wphc-nrc2,Transportation Safety - Edmonton Insight Community
completiondate,calendar_date,,date,time,wphc-nrc2,Transportation Safety - Edmonton Insight Community
ostype,text,,,,wphc-nrc2,Transportation Safety - Edmonton Insight Community
devicetype,text,,,,wphc-nrc2,Transportation Safety - Edmonton Insight Community
browsertype,text,,,,wphc-nrc2,Transportation Safety - Edmonton Insight Community
city resource access,text,Method used to Access City Resources,,,u584-yp2u,2016 Census - Dwelling Unit by City Resource Access (Citywide)
dwellings,number,Number of Units,,,u584-yp2u,2016 Census - Dwelling Unit by City Resource Access (Citywide)
structure type,text,Residential Structure Type,,,9k3k-n9pz,2016 Census - Population by Structure Type and Length of Residence (Citywide)
5 years or more,number,Number of Persons,,population,9k3k-n9pz,2016 Census - Population by Structure Type and Length of Residence (Citywide)
no response,number,Number of Persons that did not provide a Response,,population,9k3k-n9pz,2016 Census - Population by Structure Type and Length of Residence (Citywide)
ownership,text,Ownership Type,,,fnz6-5t6a,2016 Census - Population by Ownership and Length of Residence (Citywide)
5 years or more,number,Number of Persons,,population,fnz6-5t6a,2016 Census - Population by Ownership and Length of Residence (Citywide)
no response,number,No Response,,population,fnz6-5t6a,2016 Census - Population by Ownership and Length of Residence (Citywide)
route id,text,ID that uniquely identifies a route,,,ctwr-tvrd,ETS Bus Schedule GTFS Data Feed - Trips
service id,text,ID that uniquely identifies a set of dates when service is available for one or more routes.,,,ctwr-tvrd,ETS Bus Schedule GTFS Data Feed - Trips
trip id,text,ID that identifies a trip,,,ctwr-tvrd,ETS Bus Schedule GTFS Data Feed - Trips
trip headsign,number,Text that appears on a sign that identifies the trip's destination to passengers,,,ctwr-tvrd,ETS Bus Schedule GTFS Data Feed - Trips
direction id,number,A binary value that indicates the direction of travel for a trip. 0 - travel in one direction; 1 - travel in opposite direction,,,ctwr-tvrd,ETS Bus Schedule GTFS Data Feed - Trips
block id,text,"Identifies the block to which the trip belongs. A block consists of two or more sequential trips made using the same vehicle, where a passenger can transfer from one trip to the next just by staying in the vehicle.",,,ctwr-tvrd,ETS Bus Schedule GTFS Data Feed - Trips
year,number,Calendar Year number,year,time,xgwu-c37w,Bylaw Infractions
month number,number,Month Number,month_number,time,xgwu-c37w,Bylaw Infractions
month,text,Month Name,month_name,time,xgwu-c37w,Bylaw Infractions
report period,text,Month and Year when complaint was made,,time,xgwu-c37w,Bylaw Infractions
neighbourhood,text,Neighbourhood Name where infraction occured,neighbourbood_name,area,xgwu-c37w,Bylaw Infractions
neighbourhood id,text,Unique Identifier for Neighbourhood where infraction occured,neighbourbood_id,area,xgwu-c37w,Bylaw Infractions
complaint,text,General classification of complaint made according to a specific by-law,,,xgwu-c37w,Bylaw Infractions
initiated by,text,Identifies who initiated the complaint - either a Citizen or a By-law Officer,,,xgwu-c37w,Bylaw Infractions
status,text,Current status of a complaint. It can be either Under Investigation or Resolved Complaint.,,,xgwu-c37w,Bylaw Infractions
count,number,"Total number of Complaints based upon Report Period, Neighbourhood, Complaint and Status",,,xgwu-c37w,Bylaw Infractions
latitude,number,Horizontal Geographic Coordinate for a Neighbourhood centroid location,latitude,location,xgwu-c37w,Bylaw Infractions
longitude,number,Vertical Geographic Coordinate for a Neighbourhood centroid location,longitude,location,xgwu-c37w,Bylaw Infractions
location,location,Spatial Centroid of a Neighbourhood where a by-law complaint has been reported.,location,location,xgwu-c37w,Bylaw Infractions
ward,text,City Ward Number,ward_name,area,rffx-a53i,2014 Census - Population By Employment Status (Ward)
employment status,text,Employment Status Type,,,rffx-a53i,2014 Census - Population By Employment Status (Ward)
population,number,Number of Individuals for a given Employment Status Type,population,population,rffx-a53i,2014 Census - Population By Employment Status (Ward)
department,text,City of Edmonton department,,,bvgz-epnk,2012 Monthly KM's Driven By Asset Class And Department
period,text,Year/Month,date,time,bvgz-epnk,2012 Monthly KM's Driven By Asset Class And Department
asset class,text,Description of the asset class - Type of Vehicle,,,bvgz-epnk,2012 Monthly KM's Driven By Asset Class And Department
kilometers driven,number,Number of kilometers driven,,,bvgz-epnk,2012 Monthly KM's Driven By Asset Class And Department
responsedate,calendar_date,,date,time,8r47-e8yy,Pawn Shops - Edmonton Insight Community
completiondate,calendar_date,,date,time,8r47-e8yy,Pawn Shops - Edmonton Insight Community
ostype,text,,,,8r47-e8yy,Pawn Shops - Edmonton Insight Community
devicetype,text,,,,8r47-e8yy,Pawn Shops - Edmonton Insight Community
browsertype,text,,,,8r47-e8yy,Pawn Shops - Edmonton Insight Community
responsedate,calendar_date,,date,time,tbsz-v2rj,Cannabis - Edmonton Insight Community
completiondate,calendar_date,,date,time,tbsz-v2rj,Cannabis - Edmonton Insight Community
ostype,text,,,,tbsz-v2rj,Cannabis - Edmonton Insight Community
devicetype,text,,,,tbsz-v2rj,Cannabis - Edmonton Insight Community
browsertype,text,,,,tbsz-v2rj,Cannabis - Edmonton Insight Community
department,text,City of Edmonton department,,,nmyd-hbqs,2014 Monthly KM's Driven By Asset Class And Department
period,text,Year/Month,date,time,nmyd-hbqs,2014 Monthly KM's Driven By Asset Class And Department
asset class,text,Description of the asset class - Type of Vehicle,,,nmyd-hbqs,2014 Monthly KM's Driven By Asset Class And Department
kilometers driven,number,Number of kilometers driven,,,nmyd-hbqs,2014 Monthly KM's Driven By Asset Class And Department
map name,text,The title given to the Google Map used to collect the data.,,,sijk-j8x8,Bike Racks and Bike Repair Stands
type of location,text,Indicates the category of the location. Currently includes 3 values: Public bike parking - uncovered; Public bike parking - covered; and Bike repair stations.,,,sijk-j8x8,Bike Racks and Bike Repair Stands
bike rack location description,text,"The number of parking spots provided. This field also provides a high-level landmark for the location, such as the nearest building.",,,sijk-j8x8,Bike Racks and Bike Repair Stands
bike capacity,number,The number of bikes able to be locked up at the rack.,,,sijk-j8x8,Bike Racks and Bike Repair Stands
additional information,text,"Additional Information is used to provide directions to the location, or other notes relevant to cyclists.",,,sijk-j8x8,Bike Racks and Bike Repair Stands
latitude,number,The latitude of where the rack is located.,latitude,location,sijk-j8x8,Bike Racks and Bike Repair Stands
longitude,number,The Longitude of where the rack is located.,longitude,location,sijk-j8x8,Bike Racks and Bike Repair Stands
location,location,"The combination of latitude and longitude, used for mapping purposes.",location,location,sijk-j8x8,Bike Racks and Bike Repair Stands
photos approved for publication?,text,"Indicates whether all the photos of a location have been approved (if required) for publication. If yes, all photos associated with the record can be presented in the data catalogue; otherwise, the photos should not be made publicly available.",,,sijk-j8x8,Bike Racks and Bike Repair Stands
number of photos,number,A count of the number of photos available for this location. Currently 0 - 4 photos can be associated with a location.,,,sijk-j8x8,Bike Racks and Bike Repair Stands
responsedate,calendar_date,,date,time,dnii-845h,City Pools - Edmonton Insight Community
completiondate,calendar_date,,date,time,dnii-845h,City Pools - Edmonton Insight Community
ostype,text,,,,dnii-845h,City Pools - Edmonton Insight Community
devicetype,text,,,,dnii-845h,City Pools - Edmonton Insight Community
browsertype,text,,,,dnii-845h,City Pools - Edmonton Insight Community
ward,text,City Ward Number,ward_name,area,hd78-7y4x,2014 Census - Population By Ownership And Length Of Residence (Ward)
ownership,text,Ownership Type,,,hd78-7y4x,2014 Census - Population By Ownership And Length Of Residence (Ward)
5 years or more,number,Number of Units,,,hd78-7y4x,2014 Census - Population By Ownership And Length Of Residence (Ward)
no response,number,No Response,,,hd78-7y4x,2014 Census - Population By Ownership And Length Of Residence (Ward)
responsedate,calendar_date,,date,time,vdes-kthy,City Council Procedures - Edmonton Insight Community
completiondate,calendar_date,,date,time,vdes-kthy,City Council Procedures - Edmonton Insight Community
ostype,text,,,,vdes-kthy,City Council Procedures - Edmonton Insight Community
devicetype,text,,,,vdes-kthy,City Council Procedures - Edmonton Insight Community
browsertype,text,,,,vdes-kthy,City Council Procedures - Edmonton Insight Community
ward,text,City Ward Number,ward_name,area,h8fx-xnfi,2014 Census - Population By Structure Type And Length Of Residence (Neighbourhood)
neighbourhood number,number,Unique Neighbourhood Number,neighbourbood_id,area,h8fx-xnfi,2014 Census - Population By Structure Type And Length Of Residence (Neighbourhood)
neighbourhood name,text,Neighbourhood Name,neighbourbood_name,area,h8fx-xnfi,2014 Census - Population By Structure Type And Length Of Residence (Neighbourhood)
structure type,text,Residential Structure Type,,,h8fx-xnfi,2014 Census - Population By Structure Type And Length Of Residence (Neighbourhood)
5 years or more,number,Number of Units,,,h8fx-xnfi,2014 Census - Population By Structure Type And Length Of Residence (Neighbourhood)
no response,number,No Response,,,h8fx-xnfi,2014 Census - Population By Structure Type And Length Of Residence (Neighbourhood)
ward,text,City Ward Number,ward_name,area,78ux-3dz7,2014 Census - Previous Residence If Less Than One Year (Ward)
population,number,Number of Individuals,population,population,78ux-3dz7,2014 Census - Previous Residence If Less Than One Year (Ward)
year,number,Year of incident.,year,time,2gxp-ymsd,2015-2016 Graffiti Audit
neighbourhood,text,The neighbourhoods within Edmonton where the audit was conducted.,neighbourbood_name,area,2gxp-ymsd,2015-2016 Graffiti Audit
site type,text,"The type of area within the neighbourhood where the graffiti was found. Hot spot areas were those within a top 20 neighbourhood where significant reports of graffiti vandalism were recorded in the City’s data. A “random” area, the same approximate size.",,,2gxp-ymsd,2015-2016 Graffiti Audit
category,text,Predefined categories to describe the visual appearance of the graffiti.,,,2gxp-ymsd,2015-2016 Graffiti Audit
target,text,The object/structure upon which the graffiti was placed.,,,2gxp-ymsd,2015-2016 Graffiti Audit
size,text,Predetermined categories to identify the variations in the size of the graffiti.,,,2gxp-ymsd,2015-2016 Graffiti Audit
number of tags,number,The number of tags found at the specific location where the graffiti was found.,,,2gxp-ymsd,2015-2016 Graffiti Audit
lir value,number,"Intensity value rating for graffiti vandalism at each location. LIR rates nine characteristics (size, colour, complexity, artistic, visibility, longevity, access, surface and re-occurrence) on a scale of one to five where 1 is low and five is high.",,,2gxp-ymsd,2015-2016 Graffiti Audit
lir group value,text,LIR Value category grouping.,,,2gxp-ymsd,2015-2016 Graffiti Audit
latitude,number,Latitude coordinate for graffiti marking.,latitude,location,2gxp-ymsd,2015-2016 Graffiti Audit
longitude,number,Longitude coordinate for graffiti marking.,longitude,location,2gxp-ymsd,2015-2016 Graffiti Audit
location,location,Spatial location of graffiti markings.,location,location,2gxp-ymsd,2015-2016 Graffiti Audit
ward,text,City Ward Number,ward_name,area,5pun-d7xy,2014 Census - Dwelling Unit Status (Neighbourhood)
neighbourhood number,number,Unique Neighbourhood Identifier,neighbourbood_id,area,5pun-d7xy,2014 Census - Dwelling Unit Status (Neighbourhood)
neighbourhood name,text,Neighbourhood Name,neighbourbood_name,area,5pun-d7xy,2014 Census - Dwelling Unit Status (Neighbourhood)
occupied,number,Number of Dwelling Units,,,5pun-d7xy,2014 Census - Dwelling Unit Status (Neighbourhood)
unoccupied,number,Number of Dwelling Units,,,5pun-d7xy,2014 Census - Dwelling Unit Status (Neighbourhood)
no longer in use,number,Number of Dwelling Units,,,5pun-d7xy,2014 Census - Dwelling Unit Status (Neighbourhood)
no response,number,Number of Dwelling Units,,,5pun-d7xy,2014 Census - Dwelling Unit Status (Neighbourhood)
ward,text,City Ward Number,ward_name,area,rutt-y5cv,2016 Census - Dwelling Unit by Structure Type and Ownership (Neighbourhood/Ward)
neighbourhood number,number,Unique Neighbourhood Identifier,neighbourbood_id,area,rutt-y5cv,2016 Census - Dwelling Unit by Structure Type and Ownership (Neighbourhood/Ward)
neighbourhood name,text,Neighbourhood Name,neighbourbood_name,area,rutt-y5cv,2016 Census - Dwelling Unit by Structure Type and Ownership (Neighbourhood/Ward)
structure type,text,Residential Structure Type,,,rutt-y5cv,2016 Census - Dwelling Unit by Structure Type and Ownership (Neighbourhood/Ward)
owned,number,Number of Dwellings that are Owned,,,rutt-y5cv,2016 Census - Dwelling Unit by Structure Type and Ownership (Neighbourhood/Ward)
rented,number,Number of Dwellings that are Rented,,,rutt-y5cv,2016 Census - Dwelling Unit by Structure Type and Ownership (Neighbourhood/Ward)
no response,number,Number of Dwellings that did not Respond,,,rutt-y5cv,2016 Census - Dwelling Unit by Structure Type and Ownership (Neighbourhood/Ward)
structure type,text,,,,fftr-j9wv,2012 Census - Dwelling Unit By Structure Type (Citywide)
units,number,,,,fftr-j9wv,2012 Census - Dwelling Unit By Structure Type (Citywide)
neighbourhood number,number,,neighbourbood_id,area,3b6m-fezs,City of Edmonton - Neighbourhoods (Centroid Point)
neighbourhood name,text,,neighbourbood_name,area,3b6m-fezs,City of Edmonton - Neighbourhoods (Centroid Point)
area sq km,number,,,,3b6m-fezs,City of Edmonton - Neighbourhoods (Centroid Point)
latitude,number,,latitude,location,3b6m-fezs,City of Edmonton - Neighbourhoods (Centroid Point)
longitude,number,,longitude,location,3b6m-fezs,City of Edmonton - Neighbourhoods (Centroid Point)
location,location,,location,location,3b6m-fezs,City of Edmonton - Neighbourhoods (Centroid Point)
councillor,text,,,,qprk-qd35,Councillors' Ward Expenses (2014 - 2016)
expenditure type,text,,,,qprk-qd35,Councillors' Ward Expenses (2014 - 2016)
expenditure detail,text,,,,qprk-qd35,Councillors' Ward Expenses (2014 - 2016)
cost,money,,,,qprk-qd35,Councillors' Ward Expenses (2014 - 2016)
year,number,,year,time,qprk-qd35,Councillors' Ward Expenses (2014 - 2016)
responsedate,calendar_date,,date,time,9352-imp8,Exhibition Lands - Edmonton Insight Community
completiondate,calendar_date,,date,time,9352-imp8,Exhibition Lands - Edmonton Insight Community
ostype,text,,,,9352-imp8,Exhibition Lands - Edmonton Insight Community
devicetype,text,,,,9352-imp8,Exhibition Lands - Edmonton Insight Community
browsertype,text,,,,9352-imp8,Exhibition Lands - Edmonton Insight Community
responsedate,calendar_date,,date,time,69f4-nnng,Food Council 2016 - Edmonton Insight Community
completiondate,calendar_date,,date,time,69f4-nnng,Food Council 2016 - Edmonton Insight Community
gender,text,,gender,sex,69f4-nnng,Food Council 2016 - Edmonton Insight Community
age,text,,age,age,69f4-nnng,Food Council 2016 - Edmonton Insight Community
education,text,,,,69f4-nnng,Food Council 2016 - Edmonton Insight Community
employment status,text,,,,69f4-nnng,Food Council 2016 - Edmonton Insight Community
fsa,text,,postal_code,area,69f4-nnng,Food Council 2016 - Edmonton Insight Community
ostype,text,,,,69f4-nnng,Food Council 2016 - Edmonton Insight Community
devicetype,text,,,,69f4-nnng,Food Council 2016 - Edmonton Insight Community
browsertype,text,,,,69f4-nnng,Food Council 2016 - Edmonton Insight Community
image number,text,A cataloguing number assigned to the image.  The structure is: EA (Edmonton Archives); # is the image group number; #(-#) is the specific image within the group of images.,,,5ups-7xwm,Historical/Archived Images
fonds title,text,"(pronounced fon, it is a shortening of the French term, Fonds d'Archives)

All the records that have been accumulated (made or received) by an individual or organization through normal daily activity and then put aside and saved. Because the records are a by-product of regular activities, this type of aggregation is considered to be a more organic process than the gathering of a collection and therefore is more representative of the creator.",,,5ups-7xwm,Historical/Archived Images
image title,text,A title and/or caption assigned to the image (to better describe the image).,,,5ups-7xwm,Historical/Archived Images
image url,url,The URL link to the image as found at https://archivesphotos.edmonton.ca,url,url,5ups-7xwm,Historical/Archived Images
id,number,City of Edmonton Tree Identification Number,,,eecg-fc54,Trees
neighbourhood name,text,Neighbourhood name where tree resides.,neighbourbood_name,area,eecg-fc54,Trees
location type,text,General location where a tree is planted,,,eecg-fc54,Trees
species botanical,text,Botanical Name of Species,,,eecg-fc54,Trees
species common,text,Common name of Species. Cultivar indicated when known.,,,eecg-fc54,Trees
genus,text,Genus identifier for tree,,,eecg-fc54,Trees
species,text,Species identifier for tree,,,eecg-fc54,Trees
cultivar,text,Cultivar name of tree if known or applicable,,,eecg-fc54,Trees
diameter breast height,number,Diameter of trunk in centimetres. Measured at 1.2 metres from ground level.,,,eecg-fc54,Trees
condition percent,number,Estimated condition of tree health and quality. Measured as a percentage. ,,,eecg-fc54,Trees
planted date,text,"The date a tree was planted, if known.",date,time,eecg-fc54,Trees
owner,text,"City owned trees have several different maintenance programs in place. ""Owners"" are indicated in this column to show that arrangement if known.",,,eecg-fc54,Trees
latitude,number,Horizontal Geographic Coordinate,latitude,location,eecg-fc54,Trees
longitude,number,Vertical Geographic Coordinate,longitude,location,eecg-fc54,Trees
location,location,,location,location,eecg-fc54,Trees
count,number,Unique count id to be used for reporting purposes,,,eecg-fc54,Trees
ward,text,City Ward Number,ward_name,area,vu9d-aerh,2016 Census - Dwelling Unit by Structure Type and Occupancy (Neighbourhood/Ward)
